name,email,department
Aix-en-provence,communication@mairie-aixenprovence.fr,13
Allauch,info@allauch.com,13
Alleins,mairie.alleins@wanadoo.fr,13
Arles,lemaire@ville-arles.fr,13
Aubagne,contact@mairie-aubagne.com,13
Aureille,maire-mairie-aureille@wanadoo.fr,13
Auriol,mairie-auriol@wanadoo.fr,13
Aurons,serrano.rm@wanadoo.fr,13
Barbentane,contact.mairie@barbentane.fr,13
Beaurecueil,beaurecueil-mairie@wanadoo.fr,13
Belcodene,mairie@belcodene.fr,13
Berre-l-etang,s.andreoni@berre-l-etang.fr,13
Bouc-bel-air,com@boucbelair.com,13
Boulbon,mairiedeboulbon@wanadoo.fr,13
Cabannes,mairiedecabannes@wanadoo.fr,13
Cabries,com.mairie@cabries.fr,13
Cadolive,mairie-cadolive@orange.fr,13
Carnoux-en-provence,m.beguelin@mairie-carnoux.fr,13
Carry-le-rouet,mairie@mairie-carrylerouet.fr,13
Cassis-en-provence,admingen@cassis.fr,13
Ceyreste,mairie.de.ceyreste@wanadoo.fr,13
Charleval,roselyne.fabulet@charleval.net,13
Chateauneuf-le-rouge,m.dubouchet@chateauneuflerouge.fr.,13
Chateauneuf-les-martigues,gilbert.bonillo@chateauneuf-les-martigues.fr,13
Chateaurenard,maire@chateaurenard.com,13
Cornillon-confoux,mairiecornilloncx@yahoo.fr,13
Coudoux,com.coudoux@free.fr,13
Cuges-les-pins,mairie@cuges-les-pins.fr,13
Eguilles,mairie.eguilles@wanadoo.fr,13
Ensues-la-redonne,"",13
Eygalieres,info@mairieeygalieres.fr,13
Eyguieres,maire@mairie-eyguieres.fr,13
Eyragues,eyragues.mairie@wanadoo.fr,13
Fontvieille,mairie@fontvieille.fr,13
Fos-sur-mer,courrier@mairie-fos-sur-mer.fr,13
Fuveau,administration@fuveau.fr,13
Gardanne,info@ville-gardanne.fr,13
Gemenos,info@mairie-gemenos.fr,13
Gignac-la-nerthe,communication@mairie-gignaclanerthe.fr,13
Grans,accueil.grans@orange.fr,13
Graveson,mairie-graveson@ville-graveson.fr,13
Greasque,mairie-greasque@ville-greasque.fr,13
Istres,dgs@istres.fr,13
Jouques,dgs.mairie-jouques@wanadoo.fr,13
La-barben,mairie.la-barben@wanadoo.fr,13
La-bouilladisse,mairilab@wanadoo.fr,13
La-ciotat,communication@mairie-laciotat.fr,13
La-destrousse,dgs@mairieladestrousse.com,13
La-fare-les-oliviers,mairie.lafare@wanadoo.fr,13
Lamanon,contact@mairie-lamanon.fr,13
Lambesc,secretariat.lambesc@wanadoo.fr,13
Lancon-de-provence,dgs@lancon-provence.fr,13
La-penne-sur-huveaune,communication@mairie-lapennesurhuveaune.fr,13
La-roque-d-antheron,mairie@ville-laroquedantheron.fr,13
Le-puy-sainte-reparade,contact@mairie-lepuysaintereparade.fr,13
Le-rove,cabinet-maire@mairie-le-rove.fr,13
